"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"41009"	"-"	"Burst"	"-"	"01.01.0001"	"01.01.1977"
"41010"	"-"	"Denderhoutem"	"-"	"01.01.0001"	"01.01.1977"
"41011"	"-"	"Denderleeuw"	"-"	"01.01.0001"	"31.12.9999"
"41012"	"-"	"Denderwindeke"	"-"	"01.01.0001"	"01.01.1977"
"41013"	"-"	"Elene"	"-"	"01.01.0001"	"01.01.1971"
"41014"	"-"	"Erembodegem"	"-"	"01.01.0001"	"01.01.1977"
"41015"	"-"	"Erondegem"	"-"	"01.01.0001"	"01.01.1977"
"41016"	"-"	"Erpe"	"-"	"01.01.0001"	"01.01.1977"
"41017"	"-"	"Erwetegem"	"-"	"01.01.0001"	"01.01.1971"
"41018"	"Grammont"	"Geraardsbergen"	"Geraardsbergen"	"01.01.0001"	"31.12.9999"
"41019"	"-"	"Gijzegem"	"-"	"01.01.0001"	"01.01.1977"
"41020"	"-"	"Godveerdegem"	"-"	"01.01.0001"	"01.01.1971"
"41021"	"-"	"Goeferdinge"	"-"	"01.01.0001"	"01.01.1971"
"41022"	"-"	"Grimminge"	"-"	"01.01.0001"	"22.03.1977"
"41023"	"-"	"Grotenberge"	"-"	"01.01.0001"	"01.01.1971"
"41024"	"-"	"Haaltert"	"-"	"01.01.0001"	"31.12.9999"
"41025"	"-"	"Heldergem"	"-"	"01.01.0001"	"01.01.1977"
"41026"	"-"	"Herdersem"	"-"	"01.01.0001"	"01.01.1977"
"41027"	"-"	"Herzele"	"-"	"01.01.0001"	"31.12.9999"
"41028"	"-"	"Hillegem"	"-"	"01.01.0001"	"02.02.1977"
"41029"	"-"	"Hofstade (Vl.)"	"-"	"01.01.0001"	"01.01.1977"
"41030"	"-"	"Iddergem"	"-"	"01.01.0001"	"03.01.1977"
"41031"	"-"	"Idegem"	"-"	"01.01.0001"	"22.03.1977"
"41032"	"-"	"Impe"	"-"	"01.01.0001"	"01.01.1977"
"41033"	"-"	"Kerksken"	"-"	"01.01.0001"	"01.01.1977"
